# s
s,192,123
m,173,115
m,158,126
m,164,138
m,191,150
m,191,159
m,176,170
e,155,163

# i
s,217,114
e,217,171

s,217,89
e,217,100

# m
s,250,114
e,250,173

s,250,130
m,268,117
m,287,131
e,287,173

s,287,131
m,305,116
m,322,131
e,322,173

# h
s,354,87
e,354,173

s,354,134
m,376,116
m,395,129
e,395,173

# で
s,419,103
m,506,93
m,476,103
m,456,125
m,453,141
m,467,164
e,495,172

s,490,117
e,499,130

s,501,109
e,512,122

# P
s,163,212
e,163,292

s,163,212
m,186,212
m,210,233
m,186,255
e,163,255

# D
s,238,212
m,238,292
m,263,292
m,297,269
m,297,235
m,263,212
e,238,212

# P
s,329,212
e,329,292

s,329,212
m,350,212
m,376,233
m,350,255
e,329,255

# -
s,395,259
e,423,259

# 7
s,440,214
m,493,214
e,458,293

# ベ
s,157,382
m,192,348
e,250,394

s,224,341
e,234,354

s,237,334
e,248,346

# ア
s,270,337
m,355,337
e,326,370

s,309,351
m,309,374
e,281,414

# メ
s,393,353
e,443,392

s,440,329
e,377,415

# タ
s,503,325
e,470,378

s,498,340
m,542,340
e,482,418

s,489,357
e,522,387

# ル
s,592,336
m,592,374
e,567,412

s,619,330
m,619,410
e,664,371

# プ
s,158,462
m,228,462
e,172,534

s,242,437
m,231,447
m,242,458
m,253,447
e,242,437

# ロ
s,275,462
m,275,523
m,342,523
m,342,463
e,275,462

# グ
s,407,446
e,373,492

s,400,462
m,442,462
e,387,537

s,444,446
e,453,458

s,454,439
e,464,452

# ラ
s,488,456
e,550,456

s,478,482
m,557,482
e,503,538

# ミ
s,595,452
e,648,469

s,598,482
e,641,497

s,586,511
e,649,534

# ン
s,681,457
e,705,474

s,683,530
m,725,511
e,758,471

# グ
s,815,446
e,781,496

s,808,462
m,850,462
e,795,537

s,852,445
e,861,458

s,862,439
e,872,452

# 2
s,236,694
m,256,679
m,274,694
m,272,704
m,244,726
m,233,745
e,279,745

# 0
s,318,679
m,303,687
m,296,705
m,296,721
m,303,738
m,318,747
m,333,738
m,339,721
m,339,705
m,333,687
e,318,679

# 2
s,361,694
m,381,679
m,399,694
m,397,704
m,369,726
m,358,745
e,404,745

# 3
s,424,690
m,443,679
m,461,694
m,452,711
m,436,711
m,452,711
m,462,729
m,443,746
e,422,736

# -
s,482,719
e,504,719

# 0
s,543,679
m,528,687
m,521,705
m,521,721
m,528,738
m,543,747
m,558,738
m,564,721
m,564,705
m,558,687
e,543,679

# 3
s,586,690
m,605,679
m,623,694
m,614,711
m,598,711
m,614,711
m,624,729
m,605,746
e,584,736

# -
s,644,719
e,666,719

# 1
s,687,686
m,708,680
e,708,747

# 1
s,750,686
m,771,680
e,771,747

# 大
s,270,879
e,353,879

s,311,852
m,311,887
e,274,933

s,311,887
e,350,933

# 神
s,385,851
e,385,869

s,369,869
m,398,869
e,368,909

s,385,891
e,385,938

s,385,891
e,400,905

s,410,869
m,410,912
m,450,912
m,450,869
e,410,869

s,410,890
e,450,890

s,430,851
e,430,938

# 祐
s,584,851
e,584,869

s,568,869
m,597,869
e,567,909

s,584,891
e,584,938

s,584,891
e,599,905

s,603,871
e,656,871

s,625,852
e,600,916

s,614,898
m,614,929
m,647,929
m,647,898
e,614,898

# 真
s,673,861
e,750,861

s,711,851
e,711,873

s,685,873
m,685,906
m,738,906
m,738,873
e,685,873

s,685,884
e,738,884

s,685,895
e,738,895

s,668,917
e,755,917

s,698,924
e,673,936

s,723,923
e,749,934
